Identificador de URL;Nombre;Categorías;Nombre de propiedad 1;Valor de propiedad 1;Nombre de propiedad 2;Valor de propiedad 2;Nombre de propiedad 3;Valor de propiedad 3;Precio;Precio promocional;Peso (kg);Alto (cm);Ancho (cm);Profundidad (cm);Stock;SKU;Código de barras;Mostrar en tienda;Envío sin cargo;Descripción;Tags;Título para SEO;Descripción para SEO;Marca;Producto Físico;MPN (Número de pieza del fabricante);Sexo;Rango de edad;Costo
luz-de-baja-dlxarsot;Luz de Baja DLXArsot;Iluminación;;;;;;;82500.00;;;;;;5;RR0082;;SI;NO;<p>Luz de baja intensidad DLX para casco. Clasificación IP67, doble anillo impermeable. Fijación por velcro a la mayoría de cascos tácticos. Alimentada por 1 pila.</p><ul><li>Protección: IP67</li><li>Fijación: velcro trasero</li><li>Compatible: mayoría de cascos tácticos</li><li>Batería: 1 pila</li></ul>;Iluminación;;;;SI;;;;
linterna-votatu-para-rifle-pl50s-1450-lumenes;Linterna Votatu para Rifle PL50S 1450 lúmenes;Iluminación;;;;;;;189000.00;;;;;;3;RR0113;;SI;NO;<p>Linterna táctica <strong>Votatu PL50S</strong> de 1.450 lúmenes para marcadoras. Construcción en aleación resistente, montaje a riel estándar y múltiples modos de iluminación.</p><ul><li>Potencia: 1.450 lúmenes</li><li>Material: aleación</li><li>Montaje: riel estándar</li><li>Modos: múltiples niveles</li></ul>;Votatu,Iluminación;;;;SI;;;;
linterna-tactica-de-1700-lumenes-recargable-magnetico-para-rifle-ezshoot;Linterna Tactica de 1700 lúmenes Recargable Magnetico, para Rifle EZShoot;Iluminación;;;;;;;94500.00;;;;;;5;RR0086;;SI;NO;<p>Linterna táctica <strong>EZShoot 1700 lúmenes</strong> con carga magnética recargable. Alcance ~280 m, autonomía 75 min, carga completa en 1,5 horas. Compatible con rieles M y Picatinny.</p><ul><li>Potencia: 1.700 lúmenes</li><li>Alcance: ~280 m</li><li>Autonomía: 75 min</li><li>Carga: magnética (1,5 h)</li><li>Montaje: riel M-LOK y Picatinny</li></ul>;EZShoot,Iluminación;;;;SI;;;;
linterna-tactica-de-1600-lumenes-compatible-con-riel-mlok-picatinny-para-rifle-d;Linterna Tactica de 1600 lúmenes Compatible con Riel Mlok/Picatinny para Rifle Defentac;Iluminación;;;;;;;112500.00;;;;;;8;RR0090;;SI;NO;<p>Linterna táctica <strong>Defentac 1600 lúmenes</strong> para marcadoras. Compatible directamente con riel M-LOK o Picatinny sin adaptador. Indicador de nivel de potencia tricolor y modos momentáneo, constante y estroboscópico.</p><ul><li>Potencia: 1.600 lúmenes</li><li>Montaje: M-LOK / Picatinny (sin adaptador)</li><li>Indicador: LED tricolor de nivel de carga</li><li>Modos: momentáneo, constante, estroboscópico</li></ul>;Iluminación;;;;SI;;;;
linterna-tactica-800-lumenes-gazeshot;Linterna Tactica 800 lúmenes Gazeshot;Iluminación;;;;;;;58500.00;;;;;;9;RR0079;;SI;NO;<p>Linterna táctica <strong>Gazeshot 800 lúmenes</strong> para pistola. Batería de ión de litio incluida, alcance 180 m. Resistente al agua.</p><ul><li>Potencia: 800 lúmenes</li><li>Alcance: 180 m</li><li>Bombilla: LED</li><li>Batería: ión de litio (incluida)</li><li>Resistencia: al agua</li></ul>;Iluminación;;;GAZESHOOT;SI;;;;
linterna-tactica-1450-lumenes-picatinny-rail-estroboscopica-toughsol;Linterna Tactica 1450 lúmenes Picatinny Rail, Estroboscopica, Toughsol;Iluminación;;;;;;;108000.00;;;;;;5;RR0091;;SI;NO;<p>Linterna táctica <strong>Toughsol TF-1132 de 1.450 lúmenes</strong>. Compatible con riel Picatinny y M-LOK sin adaptador. Cuatro modos tácticos: constante, momentáneo, estroboscópico y estroboscópico momentáneo.</p><ul><li>Potencia: 1.450 lúmenes</li><li>Montaje: Picatinny / M-LOK (sin adaptador)</li><li>Modos: 4</li></ul>;Iluminación;;;;SI;;;;
linterna-para-rifle-de-1450-lumenes-con-interruptor-votatu-ml40;Linterna para Rifle de 1450 lúmenes con Interruptor Votatu ML40;Iluminación;;;;;;;114000.00;;;;;;7;RR0087;;SI;NO;<p>Linterna táctica <strong>Votatu ML40 de 1.450 lúmenes</strong> para riel M-LOK. Aluminio anodizado Mil-Spec, carga magnética recargable e interruptor de presión integrado. Modos alto y bajo.</p><ul><li>Potencia: 1.450 lúmenes</li><li>Material: aluminio anodizado Mil-Spec</li><li>Montaje: M-LOK</li><li>Interruptor: presión integrado</li><li>Carga: magnética</li></ul>;Votatu,Iluminación;;;;SI;;;;
linterna-para-marcadora-primaria-3000-lumenes;Linterna para Marcadora Primaria 3000 lúmenes;Iluminación;;;;;;;105000.00;;;;;;1;RR0078;;SI;NO;<p>Linterna táctica LED de 3.000 lúmenes para marcadoras primarias. Incluye función flash estroboscópico y carga por USB. Compatible con riel Picatinny.</p><ul><li>Potencia: 3.000 lúmenes</li><li>Modos: constante y estroboscópico</li><li>Carga: USB</li><li>Montaje: riel Picatinny</li></ul>;Iluminación;;;;SI;;;;
linterna-para-casco-ultra-compacta-ezaiming;Linterna para Casco Ultra Compacta Ezaiming;Iluminación;;;;;;;66750.00;;;;;;6;RR0083;;SI;NO;"<p>Linterna ultracompacta <strong>Ezaiming 9101</strong> para casco o riel Picatinny. Tamaño 1,16×2,2×0,5"", peso &lt;1,06 oz. Modos momentáneo y estroboscópico.</p><ul><li>Dimensiones: 1,16 × 2,2 × 0,5""</li><li>Peso: &lt;1,06 oz</li><li>Montaje: riel Picatinny</li><li>Modos: momentáneo / estroboscópico</li></ul>";Iluminación;;;;SI;;;;
linterna-mini-vtiger-1000-lumenes-para-glock-y-riel-picatinny;Linterna Mini Vtiger 1000 lúmenes para Glock y Riel Picatinny;Iluminación;;;;;;;87000.00;;;;;;12;RR0084;;SI;NO;<p>Linterna mini <strong>Vtiger 1000 lúmenes</strong> para Glock y riel Picatinny. Perfil ultra compacto, IPX6, carga tipo C. Autonomía 60 min.</p><ul><li>Potencia: 1.000 lúmenes</li><li>Alcance: ~300 m</li><li>Protección: IPX6</li><li>Carga: USB-C</li><li>Autonomía: 60 min</li></ul>;Glock,Iluminación;;;;SI;;;;
linterna-defentac-2400-lumenes;Linterna Defentac 2400 lúmenes;Iluminación;;;;;;;150000.00;;;;;;5;RR0106;;SI;NO;<p>Linterna táctica <strong>Defentac 2400 lúmenes</strong>. Impermeable, carga magnética con indicador de nivel de potencia. Compatible con rieles M-LOK y Picatinny.</p><ul><li>Potencia: 2.400 lúmenes</li><li>Montaje: M-LOK / Picatinny</li><li>Carga: magnética con indicador</li><li>Impermeabilidad: sí</li></ul>;Iluminación;;;;SI;;;;
linterna-defentac-1750-lumenes;Linterna Defentac 1750 lúmenes;Iluminación;;;;;;;127500.00;;;;;;10;RR0107;;SI;NO;<p>Linterna táctica <strong>Defentac 1750 lúmenes</strong> con zoom y estroboscópico. Interruptor de presión integrado, carga magnética. Compatible con riel M-LOK y Picatinny.</p><ul><li>Potencia: 1.750 lúmenes</li><li>Montaje: M-LOK / Picatinny</li><li>Interruptor: presión integrado</li><li>Carga: magnética</li><li>Modos: constante, estroboscópico momentáneo</li></ul>;Iluminación;;;;SI;;;;
linterna-de-pistola-recargable-700-lumenes-cronhawk;Linterna de Pistola Recargable 700 lúmenes Cronhawk;Iluminación;;;;;;;64800.00;;;;;;10;RR0081;;SI;NO;<p>Linterna de pistola recargable <strong>Cronhawk 700 lúmenes</strong>. Alcance ~180 m, modos constante y estroboscópico con memoria del último modo. Interruptores en ambos laterales para operación con cualquier mano.</p><ul><li>Potencia: 700 lúmenes</li><li>Alcance: ~180 m</li><li>Modos: constante y estroboscópico</li><li>Batería: recargable</li><li>Interruptores: ambos laterales</li></ul>;Iluminación;;;;SI;;;;
linterna-compacta-de-pistola-1000-lumenes-ezaiming;Linterna Compacta de Pistola 1000 lúmenes Ezaiming;Iluminación;;;;;;;57000.00;;;;;;8;RR0088;;SI;NO;<p>Linterna compacta <strong>Ezaiming 1000 lúmenes</strong> para pistola. Compatible con riel Picatinny 1913 y riel GLK (2 adaptadores incluidos). Batería recargable, modos alto/bajo y estroboscópico.</p><ul><li>Potencia: 1.000 lúmenes</li><li>Alcance: ~120 m</li><li>Autonomía: 90 min</li><li>Batería: recargable</li><li>Montaje: Picatinny 1913 / GLK</li><li>Modos: constante, momentáneo, estroboscópico, alto/bajo</li></ul>;Iluminación;;;;SI;;;;
lentes-high-lander-pyramex-gris;Lentes High Lander Pyramex Gris;Protección > Antiparras;;;;;;;31500.00;;;;;;10;RR0038;;SI;NO;<p>Antiparras tácticas <strong>Pyramex Hi-Lander</strong> gris. Marco resistente con escudo lateral extendido. Espuma ventilada indirecta y clip interior extraíble. Correa con quick release.</p><ul><li>Lente: gris</li><li>Espuma: ventilada indirecta</li><li>Correa: quick release ajustable</li><li>Clip interior: extraíble</li></ul>;Protección;;;;SI;;;;
lentes-dropzone-ballistic-kit;Lentes Dropzone Ballistic Kit;Protección > Antiparras;;;;;;;87000.00;;;;;;1;RR0071;;SI;NO;<p>Kit de antiparras balísticas <strong>Dropzone</strong> con 4 lentes intercambiables. Montura sin marco de vista panorámica. Incluye estuche rígido de neoprene y protección UV.</p><ul><li>Lentes: 4 tonalidades intercambiables</li><li>Certificación: balística máxima</li><li>Marco: sin frame (vista panorámica)</li><li>Estuche: rígido neoprene incluido</li></ul>;Protección;;;;SI;;;;
lente-pyramex-modelo-i-force-ambar;Lente Pyramex Modelo I-Force Ambar;Protección > Antiparras;;;;;;;61500.00;;;;;;6;RR0072;;SI;NO;<p>Antiparra <strong>Pyramex I-Force Ámbar</strong>. Sistema de doble lente: exterior de policarbonato y capa interna anti-empañamiento de acetato. Lente ámbar apta para interiores. Incluye banda con quick release.</p><ul><li>Lente exterior: policarbonato</li><li>Capa interna: acetato anti-empañamiento</li><li>Color lente: ámbar (indoor)</li><li>Banda: quick release</li><li>Tratamiento: antirrayaduras y anti-empañamiento</li></ul>;Protección;;;;SI;;;;
lente-high-lander-pyramex-ambar;Lente High Lander Pyramex Ambar;Protección > Antiparras;;;;;;;31500.00;;;;;;0;RR0037;;SI;NO;<p>Antiparras tácticas <strong>Pyramex Hi-Lander Ámbar</strong>. Marco resistente con escudo lateral extendido. Espuma ventilada indirecta y clip interior extraíble. Correa con quick release.</p><ul><li>Lente: ámbar</li><li>Espuma: ventilada indirecta</li><li>Correa: quick release ajustable</li><li>Clip interior: extraíble</li></ul>;Protección;;;;SI;;;;
krytac-trident-mk-iii-pdw-negra;Krytac Trident Mk III Pdw Negra;Marcadoras > Primarias;;;;;;;825000.00;;;;;;1;RR0075;;SI;NO;<p>Marcadora <strong>Krytac Trident Mk III PDW</strong> AEG. Receptores de aluminio anodizado, gearbox Nautilus con FET integrado y microinterruptor E-Trigger. Motor neo de alto par, rodamientos de 8 mm y hop-up giratorio.</p><ul><li>Sistema: AEG con E-Trigger FET</li><li>Receptores: aleación aluminio anodizado</li><li>Engranajes: rodamientos 8 mm</li><li>Gatillo: CMC ajustable con licencia</li><li>Hop-Up: giratorio ajustable</li></ul>;Marcadoras;;;krytac;SI;;;;
juego-de-rieles-picatinny;Juego de Rieles Picatinny;Accesorios > Rieles y monturas;;;;;;;46000.00;;;;;;5;RR0111;;SI;NO;<p>Juego de rieles Picatinny de aluminio en longitudes 3, 5, 7, 9, 11 y 13 ranuras. Incluye 13 tuercas en T, tornillos y 6 llaves con esquinas redondeadas.</p><ul><li>Material: aluminio</li><li>Longitudes: 3, 5, 7, 9, 11 y 13 ranuras</li><li>Incluye: 13 tuercas en T, tornillos y llaves</li></ul>;Accesorios;;;;SI;;;;
idogear-pouch-single;IDOgear Pouch Single;Equipamiento táctico > Pouches;;;;;;;16500.00;;;;;;12;RR0096;;SI;NO;<p>Pouch simple <strong>IDOgear</strong> para cargador. Nailon de alta calidad con sistema MOLLE de fibra de carbono cortado con láser. Superficie antideslizante y drenaje inferior. Dimensiones: 11×4×2 cm.</p><ul><li>Material: nailon + fibra de carbono</li><li>Sistema: MOLLE (fibra de carbono)</li><li>Dimensiones: 11 × 4 × 2 cm</li><li>Drenaje: orificios inferiores</li></ul>;IDOgear,Equipamiento táctico;;;;SI;;;;
idogear-pouch-doble;IDOgear Pouch Doble;Equipamiento táctico > Pouches;;;;;;;21000.00;;;;;;7;RR0095;;SI;NO;<p>Pouch doble <strong>IDOgear</strong> para cargadores. Nailon de alta calidad con sistema MOLLE de fibra de carbono cortado con láser. Superficie antideslizante y drenaje inferior. Fijación versátil a chaleco, mochila o cinturón.</p><ul><li>Material: nailon + fibra de carbono</li><li>Sistema: MOLLE (fibra de carbono)</li><li>Drenaje: orificios inferiores</li></ul>;IDOgear,Equipamiento táctico;;;;SI;;;;
guantes-tacticos-negros-y-tan;Guantes Tácticos Negros y Tan;Protección > Guantes;Talla;G;;;;;25500.00;;;;;;2;RR0025;;SI;NO;<p>Guantes tácticos en colores negro y tan. Palmas reforzadas y construcción duradera para uso en campo. Diseño ergonómico con protección en nudillos.</p><ul><li>Colores: negro / tan</li><li>Palmas reforzadas</li></ul>;Protección;;;;SI;;;;
guantes-tacticos-negros-y-tan;;;Talla;XXL;;;;;25500.00;;;;;;10;RR0025;;;;;;;;;SI;;;;
guantes;Guantes;Protección > Guantes;Color;Negro;Talla;XL;;;40000.00;;;;;;9;RR0092;;SI;NO;<p>Guantes tácticos de cuero artificial de microfibra. Palmas reforzadas con doble costura, compatibles con pantalla táctil en todos los dedos. Livianos, transpirables e impermeables.</p><ul><li>Material: cuero artificial de microfibra</li><li>Palmas: reforzadas, doble costura</li><li>Pantalla táctil: sí (todos los dedos)</li><li>Transpirable e impermeable</li></ul>;Protección;;;;SI;;;;
guantes;;;Color;Verde;Talla;L;;;40000.00;;;;;;5;RR0092;;;;;;;;;SI;;;;
guantes;;;Color;Tan;Talla;XL;;;40000.00;;;;;;3;RR0092;;;;;;;;;SI;;;;
guantes;;;Color;Tan;Talla;L;;;40000.00;;;;;;2;RR0092;;;;;;;;;SI;;;;
guantes;;;Color;Negro;Talla;L;;;40000.00;;;;;;5;RR0092;;;;;;;;;SI;;;;
guantes;;;Color;Verde;Talla;XL;;;40000.00;;;;;;10;RR0092;;;;;;;;;SI;;;;
go-pro-hero;Go Pro Hero;Cámaras;;;;;;;382500.00;;;;;;1;RR0067;;SI;NO;<p>Cámara de acción <strong>GoPro Hero</strong> para airsoft. Grabación en 4K con montaje compatible con equipamiento táctico. Resistente a golpes y condiciones de campo.</p><ul><li>Resolución: 4K</li><li>Resistencia: golpes y condiciones extremas</li></ul>;Go Pro,Cámaras;;;GO PRO;SI;;;;
glock-17-we-gen-5;Glock 17 WE Gen 5;Marcadoras > Pistolas;;;;;;;330000.00;;;;;;10;RR0014;;SI;NO;<p>Pistola <strong>WE Glock 17 Gen 5</strong> GBB negra. Sistema de gas blowback con hop-up ajustable. Diseño Gen 5 con empuñadura mejorada y sin seguro en el armazón.</p><ul><li>Sistema: Gas Blowback (GBB)</li><li>Calibre: 6 mm BB</li><li>Color: negro</li><li>Hop-Up: ajustable</li></ul>;WE,Glock,Marcadoras;;;WE;SI;;;;
glock-17-we-gen-4;Glock 17 WE Gen 4;Marcadoras > Pistolas;;;;;;;315000.00;;;;;;0;RR0013;;SI;NO;<p>Pistola <strong>WE Glock 17 Gen 4</strong> GBB negra. Sistema de gas blowback, hop-up ajustable y empuñadura con textura Gen 4. Alta fiabilidad en campo.</p><ul><li>Sistema: Gas Blowback (GBB)</li><li>Calibre: 6 mm BB</li><li>Color: negro</li><li>Hop-Up: ajustable</li></ul>;WE,Glock,Marcadoras;;;WE;SI;;;;
g-g-bbs-verde-tracer-0-28-g-2700-r-botella;G&G BBs Verde Tracer 0,28 g / 2700 R Botella;Munición y gas > BBs;;;;;;;42000.00;;;;;;0;RR0029;;SI;NO;<p>BBs trazadoras G&G de 0,28 g, línea verde tracer. Esféricas de precisión, diámetro 5,95 mm ±0,01 mm. Botella redonda con 2.700 unidades.</p><ul><li>Peso: 0,28 g</li><li>Diámetro: 5,95 mm ±0,01 mm</li><li>Cantidad: 2.700 BBs</li><li>Tipo: tracer verde</li><li>Calibre: 6 mm</li></ul>;G&G,Munición y gas;;;G&G;SI;;;;
g-g-bbs-verde-tracer-0-25g;G&G BBs Verde Tracer 0.25G;Munición y gas > BBs;;;;;;;36750.00;;;;;;3;RR0028;;SI;NO;<p>BBs trazadoras G&G de 0,25 g, línea verde tracer. Esféricas de precisión, diámetro 5,95 mm ±0,01 mm. Botella redonda con 2.700 unidades.</p><ul><li>Peso: 0,25 g</li><li>Diámetro: 5,95 mm ±0,01 mm</li><li>Cantidad: 2.700 BBs</li><li>Tipo: tracer verde</li><li>Calibre: 6 mm</li></ul>;G&G,Munición y gas;;;G&G;SI;;;;
g-g-aeg-arp-556-pdw;G&G AEG Arp 556 Pdw;Marcadoras > Primarias;;;;;;;588000.00;;;;;;0;RR0016;;SI;NO;"<p>Marcadora <strong>G&G ARP 556 PDW</strong> AEG. Receptor de polímero duradero, guardamanos M-LOK de 7"" esqueletizado y culata plegable estilo GOS-V9. Gatillo de cara plana tipo competición.</p><ul><li>Sistema: AEG</li><li>Guardamanos: M-LOK 7""</li><li>Culata: plegable PDW GOS-V9</li><li>Gatillo: cara plana</li><li>Material: polímero duradero</li></ul>";G&G,Marcadoras;;;G&G;SI;;;;
gancho-para-monturas;Gancho para Monturas;Accesorios > Rieles y monturas;;;;;;;18000.00;;;;;;12;RR0112;;SI;NO;"<p>Gancho para montura QD de 2 puntos <strong>REERON</strong> de 1,25"". Monturas giratorias QD para rieles M. Correa de alta tenacidad incluida.</p><ul><li>Tipo: QD 2 puntos</li><li>Ancho: 1,25""</li><li>Compatible: rieles M</li></ul>";Accesorios;;;;SI;;;;
ezshoot-linterna-laser-recargable-de-800-lumenes;EZShoot Linterna Láser Recargable de 800 Lúmenes;Iluminación;;;;;;;75000.00;;;;;;0;RR0035;;SI;NO;"<p>Combo linterna-láser <strong>EZShoot 800 lúmenes</strong> recargable por USB. Láser rojo clase IIIA (&lt;5 mW), alcance de haz luz ~160 m / láser ~2.000 m (noche). Autonomía 60–75 min linterna y 12 h solo láser.</p><ul><li>Potencia luz: 800 lúmenes</li><li>Láser: rojo, clase IIIA (&lt;5 mW)</li><li>Alcance luz: ~160 m</li><li>Alcance láser: ~2.000 m (noche)</li><li>Autonomía: 60–75 min (luz) / 12 h (solo láser)</li><li>Carga: USB</li></ul>";EZShoot,Iluminación;;;;SI;;;;
ezshoot-linterna-de-pistola-de-800-lumenes;EZShoot Linterna de Pistola de 800 Lúmenes;Iluminación;;;;;;;40.00;;;;;;0;RR0034;;SI;NO;<p>Linterna de pistola <strong>EZShoot 800 lúmenes</strong> recargable por USB. Diseño compacto de 2,01 oz, autonomía ~1,2 horas. Compatible con riel Picatinny.</p><ul><li>Potencia: 800 lúmenes</li><li>Alcance: ~160 m</li><li>Peso: 2,01 oz</li><li>Autonomía: ~1,2 h</li><li>Carga: USB</li><li>Montaje: Picatinny</li></ul>;EZShoot,Iluminación;;;;SI;;;;
estuche-armadillo-impermeable-rigido-protector-para-pistola;Estuche Armadillo Impermeable Rígido Protector para Pistola;Estuches y bolsos;;;;;;;23000.00;;;;;;2;RR0046;;SI;NO;<p>Estuche rígido impermeable <strong>Armadillo</strong> para pistola. Polímero de alta resistencia, color negro. Dimensiones internas: 295×187×65 mm, volumen interior 3,6 l.</p><ul><li>Material: polímero</li><li>Dimensiones externas: 310 × 256 × 80 mm</li><li>Dimensiones internas: 295 × 187 × 65 mm</li><li>Volumen: 3,6 l</li><li>Color: negro</li></ul>;Armadillo,Estuches y bolsos;;;;SI;;;;
estuche-armadillo-impermeable-para-fusil-de-asalto;Estuche Armadillo Impermeable para Fusil de Asalto;Estuches y bolsos;;;;;;;198000.00;;;;;;1;RR0045;;SI;NO;<p>Estuche rígido impermeable <strong>Armadillo</strong> para marcadora primaria. Polímero de alta resistencia, color negro. Dimensiones internas: 930×356×152 mm, volumen interior 50,3 l.</p><ul><li>Material: polímero</li><li>Dimensiones externas: 978 × 420 × 173 mm</li><li>Dimensiones internas: 930 × 356 × 152 mm</li><li>Volumen: 50,3 l</li><li>Color: negro</li></ul>;Armadillo,Estuches y bolsos;;;;SI;;;;
emerson-gear-upgraded-version-g3-combat-shirt-muticam;Emerson Gear – Upgraded Version G3 Combat Shirt／muticam;Uniformes;;;;;;;150000.00;;;;;;10;RR0032;;SI;NO;<p>Camisa de combate <strong>Emerson Gear G3 Upgraded Multicam</strong>. Corte ergonómico con tejido transpirable y de secado rápido. Diseñada para movilidad táctica en campo.</p><ul><li>Marca: Emerson Gear</li><li>Modelo: G3 Upgraded</li><li>Color: Multicam</li><li>Material: tejido transpirable de secado rápido</li></ul>;Emerson,Uniformes;;;EMERSON;SI;;;;
emerson-gear-g3-combat-pants-upgraded-version-multicam;Emerson Gear – G3 Combat Pants-Upgraded Version ／Multicam;Uniformes;;;;;;;226500.00;;;;;;10;RR0031;;SI;NO;<p>Pantalón de combate <strong>Emerson Gear G3 Upgraded Multicam</strong>. Tejido de alta calidad con corte ergonómico para máxima movilidad. Diseñado para uso táctico en campo.</p><ul><li>Marca: Emerson Gear</li><li>Modelo: G3 Upgraded</li><li>Color: Multicam</li><li>Material: tejido resistente y transpirable</li></ul>;Emerson,Uniformes;;;EMERSON;SI;;;;
cuchillo-de-goma-dumi;Cuchillo de Goma Dumi;Accesorios > Entrenamiento;;;;;;;22000.00;;;;;;49;RR0123;;SI;NO;<p>Cuchillo de entrenamiento de goma dumi para práctica de combate cuerpo a cuerpo en airsoft y artes marciales. Material de goma flexible, sin filo.</p><ul><li>Material: goma flexible</li><li>Uso: entrenamiento y simulación táctica</li></ul>;Accesorios;;;;SI;;;;
correa-2-puntos-alta-tenacidad;Correa 2 Puntos Alta Tenacidad;Equipamiento táctico > Correas;;;;;;;26900.00;;;;;;6;RR0057;;SI;NO;<p>Correa de 2 puntos de alta tenacidad para marcadoras. Múltiples puntos de anclaje ajustables para distribución cómoda del peso. Apta para uso en campo prolongado.</p><ul><li>Tipo: 2 puntos</li><li>Material: alta tenacidad</li><li>Ajuste: longitud regulable</li></ul>;Equipamiento táctico;;;MARG;SI;;;;
correa-1-punto;Correa 1 Punto;Equipamiento táctico > Correas;;;;;;;16000.00;;;;;;22;RR0122;;SI;NO;<p>Correa de 1 punto para marcadoras. Permite porteo rápido con libertad de movimiento y transición ágil. Compatible con la mayoría de marcadoras con punto de anclaje trasero.</p><ul><li>Tipo: 1 punto</li><li>Ajuste: longitud regulable</li></ul>;Equipamiento táctico;;;;SI;;;;
chest-rig-profesional;Chest Rig Profesional;Equipamiento táctico > Chest rigs;;;;;;;195000.00;;;;;;5;RR0058;;SI;NO;<p>Chest rig profesional táctico con sistema MOLLE. Tejido resistente al agua, diseño ergonómico ajustable. Múltiples bolsillos y pouches para configuración modular.</p><ul><li>Sistema: MOLLE</li><li>Material: tejido resistente al agua</li><li>Ajuste: ergonómico</li></ul>;Equipamiento táctico;;;;SI;;;;
chalecos-varios-colores-sin-pouchs;Chalecos Varios Colores sin Pouchs;Protección > Chalecos;;;;;;;160000.00;;;;;;9;RR0114;;SI;NO;<p>Chalecos tácticos en varios colores, sin pouches incluidos. Estructura modular con sistema MOLLE para configurar según necesidad. Diseño ajustable por talla.</p><ul><li>Sistema: MOLLE</li><li>Pouches: no incluidos</li><li>Colores: varios</li></ul>;Protección;;;;SI;;;;
chaleco;Chaleco;Protección > Chalecos;;;;;;;182500.00;;;;;;1;RR0074;;SI;NO;<p>Chaleco táctico completo con sistema MOLLE. Incluye pouches integrados y ajuste de talla mediante correas. Apto para uso en campo.</p><ul><li>Sistema: MOLLE</li><li>Pouches: incluidos</li><li>Ajuste: correas laterales</li></ul>;Protección;;;;SI;;;;
casco-pts-airsoft-mtek-flux-negro;Casco PTS Airsoft MTEK Flux (Negro);Protección > Cascos;;;;;;;384000.00;;;;;;10;RR0042;;SI;NO;<p>Casco <strong>PTS MTEK Flux</strong> réplica en negro para airsoft. Diseño ultraliviano y ergonómico, compatible con accesorios tácticos estándar. Materiales de alta calidad con ajuste seguro.</p><ul><li>Marca: PTS</li><li>Modelo: MTEK Flux</li><li>Color: negro</li><li>Material: polímero liviano</li></ul>;PTS,MTEK,Flux,Protección;;;;SI;;;;
casco-emerson-sf-ultra-high-cut;Casco Emerson Sf Ultra High Cut;Protección > Cascos;;;;;;;163500.00;;;;;;11;RR0097;;SI;NO;<p>Casco táctico <strong>Emerson SF Ultra High Cut</strong>. Diseño de corte alto para liberar las orejas y permitir uso de headsets. Soporte para montura NVG y raíles laterales.</p><ul><li>Material: ABS resistente a impactos</li><li>Interior: espuma de alta densidad EPS + memoria</li><li>Corte: ultra-high cut (compatible con headsets)</li><li>Montura: NVG integrada</li><li>Tallas: S/M (55–59 cm) y L/XL (59–62 cm)</li></ul>;Emerson,Protección;;;;SI;;;;
cargadora-de-velocidad-wosport-1000r;Cargadora de Velocidad WoSport 1000R;Cargadores > Speedloaders;;;;;;;49500.00;;;;;;6;RR0027;;SI;NO;<p>Cargadora de velocidad <strong>WoSport 1000R</strong> para BBs de 6 mm. Capacidad de 1.000 BBs, polímero negro. Compatible con línea M4 de airsoft.</p><ul><li>Modelo: EX0403</li><li>Capacidad: 1.000 BBs</li><li>Peso neto: 0,2 kg</li><li>Material: polímero</li><li>Calibre: 6 mm BB</li><li>Color: negro</li></ul>;WoSport,Cargadores;;;;SI;;;;
cargadora-de-velocidad-cyma-100r;Cargadora de Velocidad CYMA 100R;Cargadores > Speedloaders;;;;;;;10500.00;;;;;;19;RR0026;;SI;NO;<p>Cargadora de velocidad CYMA 100R para BBs de 6 mm. Modelo CY-C19A, liviana a 56 g. Color negro humo.</p><ul><li>Modelo: CY-C19A</li><li>Capacidad: 100 BBs</li><li>Peso: 56 g</li><li>Calibre: 6 mm</li><li>Color: negro humo</li></ul>;CYMA,Cargadores;;;;SI;;;;
cargador-tokyo-marui-31r-para-gbb-hi-capa-5-1-negro;Cargador Tokyo Marui 31R para GBB Hi-Capa 5.1 Negro;Cargadores > De marcadora;;;;;;;100000.00;;;;;;10;RR0115;;SI;NO;<p>Cargador <strong>Tokyo Marui Hi-Capa 5.1</strong> de 31 BBs en metal negro. Compatible exclusivamente con la línea Hi-Capa 5.1 GBB de Tokyo Marui.</p><ul><li>Compatibilidad: TM Hi-Capa 5.1 GBB</li><li>Capacidad: 31 BBs</li><li>Material: metal</li><li>Calibre: 6 mm BB</li><li>Color: negro</li></ul>;Tokyo Marui,Cargadores;;;;SI;;;;
cargador-glock-17-extendido;Cargador Glock 17 Extendido;Cargadores > De marcadora;;;;;;;111000.00;;;;;;3;RR0052;;SI;NO;<p>Cargador extendido WE para <strong>Glock 17</strong> GBB. Mayor capacidad que el cargador estándar, construcción metálica de alta resistencia.</p><ul><li>Compatibilidad: WE Glock 17</li><li>Sistema: Green Gas GBB</li><li>Calibre: 6 mm BB</li><li>Material: metal</li></ul>;Glock,Cargadores;;;We;SI;;;;
cargador-de-baterias-gen-ace;Cargador de Baterías Gen Ace;Cargadores > De marcadora;;;;;;;60000.00;;;;;;1;RR0073;;SI;NO;<p>Cargador de baterías <strong>Gen Ace</strong> para baterías LiPo/LiHV y NiMH de airsoft. Carga balanceada con protección contra sobrecarga, cortocircuito y sobrecalentamiento. Indicadores LED de estado.</p><ul><li>Compatible: LiPo, LiHV, NiMH</li><li>Protecciones: sobrecarga, cortocircuito, temperatura</li><li>Indicadores: LED de estado</li></ul>;Cargadores;;;;SI;;;;
